key|value|comment
landing.compare.no.item1@de|Teams, bei denen historisch gewachsene Strukturen unter Artenschutz stehen|Content text for de locale
landing.compare.no.item1@en|Teams where legacy structures are protected species|Content text for en locale
landing.compare.no.item2@de|Umgebungen, in denen Code-Tradition mehr zählt als technische Überlegenheit|Content text for de locale
landing.compare.no.item2@en|Environments where code tradition outweighs technical superiority|Content text for en locale
landing.compare.no.item3@de|Strukturen, in denen Kompromisse wichtiger sind als Problemlösungen|Content text for de locale
landing.compare.no.item3@en|Structures where compromises matter more than solutions|Content text for en locale
landing.compare.no.item4@de|Kulturen, die Agilität und Meetingexzesse mit Fortschritt verwechseln|Content text for de locale
landing.compare.no.item4@en|Cultures that confuse agility and meeting excess with progress|Content text for en locale
landing.compare.no.item5@de|Systeme, in denen Komplexität und bunte Graphen als Kompetenznachweis gelten|Content text for de locale
landing.compare.no.item5@en|Systems where complexity and colourful graphs count as proof of competence|Content text for en locale
landing.compare.no.title@de|Wo ich NICHT helfen kann:|Content text for de locale
landing.compare.no.title@en|Where I CANNOT help:|Content text for en locale
landing.compare.subtitle@de|Wenn alle 'innovative Cloud-Native Solutions' bewundern, zeige ich auf die nackte Komplexität|Content text for de locale
landing.compare.subtitle@en|While everyone admires 'innovative cloud-native solutions', I point at the naked complexity|Content text for en locale
landing.compare.title@de|Für Teams, die des Kaisers neue Kleider beim Namen nennen|Content text for de locale
landing.compare.title@en|For Teams Who Call Out the Emperor's New Clothes|Content text for en locale
landing.compare.yes.item1@de|Bei verzwickten Architektur-Problemen die Sie schon innerlich aufgegeben haben|Content text for de locale
landing.compare.yes.item1@en|With intricate architecture problems you've already given up on internally|Content text for en locale
landing.compare.yes.item2@de|Teams die wirklich bereit sind bewährte Prinzipien über populäre Frameworks zu stellen|Content text for de locale
landing.compare.yes.item2@en|Teams truly ready to put proven principles over popular frameworks|Content text for en locale
landing.compare.yes.item3@de|Organisationen die langfristige Verlässlichkeit höher als kurzfristige Features priorisieren|Content text for de locale
landing.compare.yes.item3@en|Organisations that prioritise long-term reliability over short-term features|Content text for en locale
landing.compare.yes.item4@de|Bei technischen Herausforderungen mit bedeutendem konzeptionellem Umfang|Content text for de locale
landing.compare.yes.item4@en|With technical challenges of significant conceptual scope|Content text for en locale
landing.compare.yes.item5@de|Unternehmen die Technical Excellence belohnen|Content text for de locale
landing.compare.yes.item5@en|Companies that reward technical excellence|Content text for en locale
landing.compare.yes.title@de|Wo ich Lösungen biete:|Content text for de locale
landing.compare.yes.title@en|Where I offer solutions:|Content text for en locale
