key|value|comment
impressum.licenses.title@de|Verwendete Lizenzen|License section title German
impressum.licenses.title@en|Used Licenses|License section title English
impressum.licenses.website.title@de|Website-Inhalte|Website content license German
impressum.licenses.website.title@en|Website Content|Website content license English
impressum.licenses.website.text@de|Alle Inhalte dieser Website stehen unter eigener Lizenz.|Website license text German
impressum.licenses.website.text@en|All content of this website is under own license.|Website license text English
impressum.licenses.inter.title@de|Inter Schriftart|Inter font license German
impressum.licenses.inter.title@en|Inter Font|Inter font license English
impressum.licenses.inter.text@de|Inter Font von Rasmus Andersson, SIL Open Font License 1.1|Inter font license text German
impressum.licenses.inter.text@en|Inter Font by Rasmus Andersson, SIL Open Font License 1.1|Inter font license text English
impressum.licenses.feather.title@de|Feather Icons|Feather icons license German
impressum.licenses.feather.title@en|Feather Icons|Feather icons license English
impressum.licenses.feather.text@de|Feather Icons von Cole Bemis, MIT License|Feather icons license text German
impressum.licenses.feather.text@en|Feather Icons by Cole Bemis, MIT License|Feather icons license text English
impressum.licenses.svg.title@de|SVG-Optimierungen|SVG optimization license German
impressum.licenses.svg.title@en|SVG Optimizations|SVG optimization license English
impressum.licenses.svg.text@de|SVG-Optimierungen mit eigenen Tools durchgeführt.|SVG license text German
impressum.licenses.svg.text@en|SVG optimizations performed with own tools.|SVG license text English
