file_path|line_number|function_name|signature|description|inputs|return_type|status
src/main.rs|8|main|fn main()|No description|None|()|active
src/reedcms/api/batch_handlers.rs|128|batch_get|pub async fn batch_get( _req: HttpRequest, body: web::Json<BatchGetRequest>, ) -> HttpResponse|POST /api/v1/batch/get - Retrieve multiple keys in one request.|_req: HttpRequest; body: web::Json<BatchGetRequest>|HttpResponse|active
src/reedcms/api/batch_handlers.rs|217|batch_set|pub async fn batch_set( _req: HttpRequest, body: web::Json<BatchSetRequest>, ) -> HttpResponse|POST /api/v1/batch/set - Set multiple keys in one request.|_req: HttpRequest; body: web::Json<BatchSetRequest>|HttpResponse|active
src/reedcms/api/batch_handlers.rs|271|fetch_single_key|async fn fetch_single_key( key: &str, cache_type: &str, language: &Option<String>, environment: &Option<String>, ) -> ApiBatchResult<String>|Internal helper: Fetch a single key from ReedBase.|key: &str; cache_type: &str; language: &Option<String>; environment: &Option<String>|ApiBatchResult<String>|active
src/reedcms/api/batch_handlers.rs|331|set_single_key|async fn set_single_key( key: &str, value: &str, description: &Option<String>, cache_type: &str, _language: &Option<String>, _environment: &Option<String>, ) -> ApiBatchResult<String>|Internal helper: Set a single key in ReedBase.|key: &str; value: &str; description: &Option<String>; cache_type: &str; _language: &Option<String>; _environment: &Option<String>|ApiBatchResult<String>|active
src/reedcms/api/get_handlers.rs|78|get_text|pub async fn get_text( _req: HttpRequest, query: web::Query<GetQuery>, ) -> HttpResponse|GET /api/v1/text/get - Retrieve text data from ReedBase.|_req: HttpRequest; query: web::Query<GetQuery>|HttpResponse|active
src/reedcms/api/get_handlers.rs|118|get_route|pub async fn get_route( _req: HttpRequest, query: web::Query<GetQuery>, ) -> HttpResponse|GET /api/v1/route/get - Retrieve route data from ReedBase.|_req: HttpRequest; query: web::Query<GetQuery>|HttpResponse|active
src/reedcms/api/get_handlers.rs|158|get_meta|pub async fn get_meta( _req: HttpRequest, query: web::Query<GetQuery>, ) -> HttpResponse|GET /api/v1/meta/get - Retrieve metadata from ReedBase.|_req: HttpRequest; query: web::Query<GetQuery>|HttpResponse|active
src/reedcms/api/get_handlers.rs|197|get_config|pub async fn get_config( _req: HttpRequest, query: web::Query<GetQuery>, ) -> HttpResponse|GET /api/v1/config/get - Retrieve configuration from ReedBase.|_req: HttpRequest; query: web::Query<GetQuery>|HttpResponse|active
src/reedcms/api/get_handlers.rs|222|fetch_from_reedbase|async fn fetch_from_reedbase( key: &str, language: &Option<String>, environment: &Option<String>, cache_type: &str, ) -> Result<ApiResponse<String>, ApiError>|Internal helper: Fetch data from ReedBase cache.|key: &str; language: &Option<String>; environment: &Option<String>; cache_type: &str|Result<ApiResponse<String>, ApiError>|active
src/reedcms/api/get_handlers.rs|288|fetch_config_from_reedbase|async fn fetch_config_from_reedbase( key: &str, language: &Option<String>, environment: &Option<String>, ) -> Result<ApiConfigResponse, ApiError>|Internal helper: Fetch configuration data from ReedBase.|key: &str; language: &Option<String>; environment: &Option<String>|Result<ApiConfigResponse, ApiError>|active
src/reedcms/api/get_handlers.rs|340|extract_suffixes|fn extract_suffixes(key: &str) -> (String, String)|Extracts language and environment suffixes from key.|key: &str|(String, String)|active
