key|value|comment
knowledge-term.agility.title@de|Agilität|Content text for de locale
knowledge-term.agility.title@en|Agility|Content text for en locale
knowledge-term.agility.category.label@de|Kategorie|Content text for de locale
knowledge-term.agility.category.label@en|Category|Content text for en locale
knowledge-term.agility.category.value@de|Projektmanagement-Methodik|Content text for de locale
knowledge-term.agility.category.value@en|Project Management Methodology|Content text for en locale
knowledge-term.agility.stable.label@de|Etabliert seit|Content text for de locale
knowledge-term.agility.stable.label@en|Established since|Content text for en locale
knowledge-term.agility.stable.value@de|2001 (Agile Manifesto)|Content text for de locale
knowledge-term.agility.stable.value@en|2001 (Agile Manifesto)|Content text for en locale
knowledge-term.agility.creator.label@de|Begründer|Content text for de locale
knowledge-term.agility.creator.label@en|Founders|Content text for en locale
knowledge-term.agility.creator.value@de|Kent Beck, Martin Fowler u.a.|Content text for de locale
knowledge-term.agility.creator.value@en|Kent Beck, Martin Fowler et al.|Content text for en locale
knowledge-term.agility.project.label@de|Ressource|Content text for de locale
knowledge-term.agility.project.label@en|Resource|Content text for en locale
knowledge-term.agility.project.value@de|"<a href=""https://agilemanifesto.org"" target=""_blank"">Agile Manifesto</a>"|Content text for de locale
knowledge-term.agility.project.value@en|"<a href=""https://agilemanifesto.org"" target=""_blank"">Agile Manifesto</a>"|Content text for en locale
knowledge-term.agility.description@de|"Agilität war ursprünglich die Antwort von Ingenieuren auf schwerfällige Wasserfallmodelle. Das Agile Manifesto (2001) forderte funktionierende Software über Dokumentation und technische Exzellenz als Grundlage. Was daraus wurde: Scrum-Bürokratie mit Daily Standups, Sprint Planning, Reviews und Retrospektiven - über 150 Stunden Meetings pro Jahr über ""Agilität"". Moderne Teams bewegen sich wie Marionetten an den Fäden des Prozess-Theaters, nicht wie bewegliche Kämpfer. Die Ironie: Mini-Wasserfälle mit kohärenten Arbeitspaketen sind oft agiler als fragmentierte Sprint-Entwicklung. Diese Webseite entstand bewusst nicht in Sprints, sondern als durchdachtes Gesamtsystem - erst komplett designen, dann sauber implementieren, gründlich testen, dann ausliefern."|Content text for de locale
knowledge-term.agility.description@en|"Agility was originally engineers' answer to cumbersome waterfall models. The Agile Manifesto (2001) demanded working software over documentation and technical excellence as foundation. What it became: Scrum bureaucracy with daily standups, sprint planning, reviews and retrospectives - over 150 hours of meetings per year about ""agility"". Modern teams move like marionettes on process theater strings, not like agile fighters. The irony: mini-waterfalls with coherent work packages are often more agile than fragmented sprint development. This website was deliberately not built in sprints, but as a well-thought-out complete system - first fully design, then cleanly implement, thoroughly test, then deliver."|Content text for en locale
knowledge-term.agility.enterprise@de|"Ironischerweise sind die erfolgreichsten Tech-Unternehmen (Netflix, Amazon) intern weniger ""agil"" als sie nach außen behaupten. Sie nutzen kohärente Arbeitspakete, langfristige Planung und stabile Systeme. Der wahre Grund ihres Erfolgs: Technische Exzellenz über Prozess-Compliance. Aber das verkauft sich schlecht auf Konferenzen."|Content text for de locale
knowledge-term.agility.enterprise@en|"Ironically, the most successful tech companies (Netflix, Amazon) are internally less ""agile"" than they claim externally. They use coherent work packages, long-term planning, and stable systems. The real reason for their success: technical excellence over process compliance. But that doesn't sell well at conferences."|Content text for en locale
knowledge-term.agility.compare.title@de|Bewertung|Content text for de locale
knowledge-term.agility.compare.title@en|Assessment|Content text for en locale
knowledge-term.agility.compare.subtitle@de|Ehrliche Einschätzung der Methodik|Content text for de locale
knowledge-term.agility.compare.subtitle@en|Honest assessment of the methodology|Content text for en locale
knowledge-term.agility.cons.title@de|Nachteile|Content text for de locale
knowledge-term.agility.cons.title@en|Disadvantages|Content text for en locale
knowledge-term.agility.cons.1@de|Meeting-Overhead statt Entwicklungszeit|Content text for de locale
knowledge-term.agility.cons.1@en|Meeting overhead instead of development time|Content text for en locale
