key|value|comment
knowledge-term.actix-web.title@de|Actix-Web|Content text for de locale
knowledge-term.actix-web.category.label@de|Kategorie|Content text for de locale
knowledge-term.actix-web.category.value@de|Web-Framework|Content text for de locale
knowledge-term.actix-web.stable.label@de|Stabil seit|Content text for de locale
knowledge-term.actix-web.stable.value@de|2018|Content text for de locale
knowledge-term.actix-web.creator.label@de|Erschaffer|Content text for de locale
knowledge-term.actix-web.creator.value@de|Nikolay Kim|Content text for de locale
knowledge-term.actix-web.project.label@de|Projekt|Content text for de locale
knowledge-term.actix-web.project.value@de|"<a href=""https://github.com/actix/actix-web"" target=""_blank"">GitHub-Projekt von Actix-Web</a>"|Content text for de locale
knowledge-term.actix-web.description@de|Actix-Web ist ein extrem schnelles, pragmatisches und Open-Source Web-Framework für Rust. Es basiert auf dem Actor-Modell und nutzt Tokio als asynchrone Runtime. In den TechEmpower-Benchmarks belegt es regelmäßig Spitzenplätze bei der Request-Verarbeitung und übertrifft etablierte Frameworks wie Node.js oder Go deutlich. Diese beeindruckende Performance verdankt es der Zero-Cost-Abstraction von Rust und der geschickten Nutzung von async/await. Das Framework bietet alles, was moderne Web-Anwendungen benötigen: Middleware-System, WebSockets, HTTP/2, TLS, Request-Router und automatische Deserialisierung. Besonders bemerkenswert ist die Type-Safety: Viele Fehler, die in anderen Sprachen erst zur Laufzeit auftreten, werden bereits beim Kompilieren erkannt. Diese Webseite läuft auf Actix-Web und beweist dessen Produktionsreife.|Content text for de locale
knowledge-term.actix-web.enterprise@de|Verwendet von Microsoft (Azure IoT), Cloudflare (Workers), Discord (Backend-Services), Dropbox (Magic Pocket Storage) und vielen Startups, die auf maximale Performance und Zuverlässigkeit setzen.|Content text for de locale
knowledge-term.actix-web.compare.title@de|Bewertung|Content text for de locale
knowledge-term.actix-web.compare.subtitle@de|Ehrliche Einschätzung der Technologie|Content text for de locale
knowledge-term.actix-web.cons.title@de|Nachteile|Content text for de locale
knowledge-term.actix-web.cons.1@de|Rust-Kenntnisse erforderlich|Content text for de locale
knowledge-term.actix-web.cons.2@de|Längere Kompilierungszeiten|Content text for de locale
knowledge-term.actix-web.cons.3@de|Kleinere Community als Node.js/Python|Content text for de locale
knowledge-term.actix-web.cons.4@de|Weniger Third-Party-Pakete|Content text for de locale
