key|value|comment
knowledge-term.seo.title@de|SEO|Content text for de locale
knowledge-term.seo.title@en|SEO|Content text for en locale
knowledge-term.seo.category.label@de|Kategorie|Content text for de locale
knowledge-term.seo.category.label@en|Category|Content text for en locale
knowledge-term.seo.category.value@de|Marketing-Konzept|Content text for de locale
knowledge-term.seo.category.value@en|Marketing Concept|Content text for en locale
knowledge-term.seo.stable.label@de|Status|Content text for de locale
knowledge-term.seo.stable.label@en|Status|Content text for en locale
knowledge-term.seo.stable.value@de|Am Sterben|Content text for de locale
knowledge-term.seo.stable.value@en|Dying|Content text for en locale
knowledge-term.seo.creator.label@de|Begründer|Content text for de locale
knowledge-term.seo.creator.label@en|Founder|Content text for en locale
knowledge-term.seo.creator.value@de|Google PageRank (1996)|Content text for de locale
knowledge-term.seo.creator.value@en|Google PageRank (1996)|Content text for en locale
knowledge-term.seo.project.label@de|Nachfolger|Content text for de locale
knowledge-term.seo.project.label@en|Successor|Content text for en locale
knowledge-term.seo.project.value@de|"<a href=""#"" class=""link"">AI-Antwort-Optimierung</a>"|Content text for de locale
knowledge-term.seo.project.value@en|"<a href=""#"" class=""link"">AI Answer Optimization</a>"|Content text for en locale
knowledge-term.seo.description@de|Traditionelles SEO stirbt. Die Ära des Keyword-Stuffings und Link-Farmings endet. Stand Q3 2025: 84% der Google-Suchen zeigen bereits KI-gestützte Overviews. Die Zukunft gehört AEO (Answer Engine Optimization): Inhalte werden für Featured Snippets und direkte KI-Antworten strukturiert - mit FAQ-Schema, klaren Absätzen und Frage-basierten Formaten. Parallel dazu entsteht GEO (Generative Engine Optimization): Die Optimierung dafür, dass ChatGPT, Claude und andere KIs deine Inhalte als vertrauenswürdige Quelle zitieren. Der Rich-get-Richer-Effekt verstärkt sich - wer jetzt nicht handelt, wird unsichtbar.|Content text for de locale
knowledge-term.seo.description@en|Traditional SEO is dying. The era of keyword stuffing and link farming is ending. As of Q3 2025: 84% of Google searches already show AI-powered overviews. The future belongs to AEO (Answer Engine Optimization): Content structured for featured snippets and direct AI answers - with FAQ schema, clear paragraphs and question-based formats. Simultaneously, GEO (Generative Engine Optimization) emerges: Optimizing for ChatGPT, Claude and other AIs to cite your content as a trusted source. The rich-get-richer effect intensifies - those who don't act now will become invisible.|Content text for en locale
