key|value|comment
knowledge-term.geo.title@de|GEO|Content text for de locale
knowledge-term.geo.title@en|GEO|Content text for en locale
knowledge-term.geo.category.label@de|Kategorie|Content text for de locale
knowledge-term.geo.category.label@en|Category|Content text for en locale
knowledge-term.geo.category.value@de|Fortgeschrittene Optimierung|Content text for de locale
knowledge-term.geo.category.value@en|Advanced Optimization|Content text for en locale
knowledge-term.geo.stable.label@de|Status|Content text for de locale
knowledge-term.geo.stable.label@en|Status|Content text for en locale
knowledge-term.geo.stable.value@de|Kritisch wichtig|Content text for de locale
knowledge-term.geo.stable.value@en|Critically important|Content text for en locale
knowledge-term.geo.creator.label@de|Entstanden|Content text for de locale
knowledge-term.geo.creator.label@en|Emerged|Content text for en locale
knowledge-term.geo.creator.value@de|2023 (ChatGPT-Boom)|Content text for de locale
knowledge-term.geo.creator.value@en|2023 (ChatGPT boom)|Content text for en locale
knowledge-term.geo.project.label@de|Teil von|Content text for de locale
knowledge-term.geo.project.label@en|Part of|Content text for en locale
knowledge-term.geo.project.value@de|"<a href=""{{ 'knowledge.ai-visibility' | route(lang='auto') }}"" class=""link"">AI Visibility</a>"|Content text for de locale
knowledge-term.geo.project.value@en|"<a href=""{{ 'knowledge.ai-visibility' | route(lang='auto') }}"" class=""link"">AI Visibility</a>"|Content text for en locale
knowledge-term.geo.description@de|GEO (Generative Engine Optimization) geht über AEO hinaus: Es optimiert für generative KI-Modelle wie ChatGPT, Claude, Gemini oder Bing Copilot, die Inhalte nicht nur anzeigen, sondern zusammenfassen und neu generieren. Ziel: Als vertrauenswürdige Quelle in KI-Antworten zitiert werden. Strategien: Topical Authority durch Themen-Cluster aufbauen, Entitäten-Optimierung (Personen, Orte, Konzepte), Multimedia mit Alt-Texten und Transkripten. Der Rich-get-Richer-Effekt ist brutal - KIs bevorzugen wenige Quellen.|Content text for de locale
knowledge-term.geo.description@en|GEO (Generative Engine Optimization) goes beyond AEO: It optimizes for generative AI models like ChatGPT, Claude, Gemini, or Bing Copilot that don't just display content but summarize and regenerate it. Goal: Being cited as a trusted source in AI answers. Strategies: Building topical authority through topic clusters, entity optimization (people, places, concepts), multimedia with alt texts and transcripts. The rich-get-richer effect is brutal - AIs prefer few sources.|Content text for en locale
knowledge-term.geo.enterprise@de|Die Herausforderung ist existenziell: KI-Modelle entscheiden autonom, welche Quellen sie zitieren. Ohne etablierte Autorität in den Trainingsdaten verschwindest du. Die Investition ist massiv: Komplette Content-Architekturen müssen neu gedacht werden. Semantische Beziehungen zwischen Inhalten werden wichtiger als Keywords. Unternehmen müssen JETZT ihre Expertise in KI-Trainingsdaten verankern - in 12 Monaten ist es zu spät. Der Markt wird sich auf wenige autoritäre Quellen konzentrieren.|Content text for de locale
