key|value|comment
svg-icon.default.alt@de|Icon|Default German alt text
svg-icon.default.alt@en|Icon|Default English alt text
svg-icon.missing.alt@de|Fehlendes Icon|German alt text for missing icons
svg-icon.missing.alt@en|Missing Icon|English alt text for missing icons
svg-icon.feather.credit@de|Feather Icons von feathericons.com|German credit for Feather icons
svg-icon.feather.credit@en|Feather Icons from feathericons.com|English credit for Feather icons
key|value|comment
knowledge.term.category.label@de|Kategorie|Generic category label German
knowledge.term.category.label@en|Category|Generic category label English
knowledge.term.stable.label@de|Stabil seit|Generic stability label German
knowledge.term.stable.label@en|Stable since|Generic stability label English
knowledge.term.creator.label@de|Entwickler|Generic creator label German
knowledge.term.creator.label@en|Developer|Generic creator label English
knowledge.term.project.label@de|Projekt-URL|Generic project URL label German
knowledge.term.project.label@en|Project URL|Generic project URL label English
knowledge.term.syntax.label@de|Syntax|Generic syntax label German
knowledge.term.syntax.label@en|Syntax|Generic syntax label English
knowledge.term.security.label@de|Sicherheit|Generic security label German
knowledge.term.security.label@en|Security|Generic security label English
knowledge.term.performance.label@de|Performance|Generic performance label German
knowledge.term.performance.label@en|Performance|Generic performance label English
knowledge.term.description.label@de|Beschreibung|Generic description label German
knowledge.term.description.label@en|Description|Generic description label English
knowledge.term.compare.title@de|Bewertung|Generic compare section title German
knowledge.term.compare.title@en|Assessment|Generic compare section title English
knowledge.term.compare.subtitle@de|Ehrliche Einschätzung der Technologie|Generic compare subtitle German
knowledge.term.compare.subtitle@en|Honest assessment of the technology|Generic compare subtitle English
knowledge.term.cons.title@de|Nachteile|Generic cons section title German
knowledge.term.cons.title@en|Disadvantages|Generic cons section title English
knowledge.term.pros.title@de|Vorteile|Generic pros section title German
knowledge.term.pros.title@en|Advantages|Generic pros section title English
key|value|comment
landing.contact.email.label@de|E-Mail|Email label German
landing.contact.email.label@en|Email|Email label English
landing.contact.availability.label@de|Verfügbarkeit|Availability label German
landing.contact.availability.label@en|Availability|Availability label English
key|value|comment
impressum-page.license.title@de|Seiten-Lizenz|Page license section title German
impressum-page.license.title@en|Page License|Page license section title English
impressum-page.license.copyright.title@de|Urheberrecht|Copyright section title German
impressum-page.license.copyright.title@en|Copyright|Copyright section title English
impressum-page.license.copyright.text@de|© 2025 Vivian Voss. Alle Rechte vorbehalten.|Copyright text German
impressum-page.license.copyright.text@en|© 2025 Vivian Voss. All rights reserved.|Copyright text English
impressum-page.license.code.title@de|Quellcode|Source code section title German
impressum-page.license.code.title@en|Source Code|Source code section title English
impressum-page.license.code.text@de|Der Quellcode dieser Website ist proprietär und nicht öffentlich verfügbar.|Source code license text German
impressum-page.license.code.text@en|The source code of this website is proprietary and not publicly available.|Source code license text English
key|value|comment
knowledge.intro.title@de|Technisches Glossar|Knowledge intro title German
knowledge.intro.title@en|Technical Glossary|Knowledge intro title English
knowledge.intro.description@de|Auf dieser Seite finden Sie klare Erklärungen wichtiger technischer Begriffe, die in meinen Projekten und auf dieser Website verwendet werden.|Knowledge intro description German
knowledge.intro.description@en|On this page you'll find clear explanations of important technical terms used in my projects and on this website.|Knowledge intro description English
key|value|comment
impressum.licenses.title@de|Verwendete Lizenzen|License section title German
impressum.licenses.title@en|Used Licenses|License section title English
impressum.licenses.website.title@de|Website-Inhalte|Website content license German
impressum.licenses.website.title@en|Website Content|Website content license English
impressum.licenses.website.text@de|Alle Inhalte dieser Website stehen unter eigener Lizenz.|Website license text German
impressum.licenses.website.text@en|All content of this website is under own license.|Website license text English
impressum.licenses.inter.title@de|Inter Schriftart|Inter font license German
impressum.licenses.inter.title@en|Inter Font|Inter font license English
impressum.licenses.inter.text@de|Inter Font von Rasmus Andersson, SIL Open Font License 1.1|Inter font license text German
