key|value|comment
knowledge-term.api.title@de|API (Application Programming Interface)|Content text for de locale
knowledge-term.api.title@en|API (Application Programming Interface)|Content text for en locale
knowledge-term.api.category.label@de|Kategorie|Content text for de locale
knowledge-term.api.category.label@en|Category|Content text for en locale
knowledge-term.api.category.value@de|Software-Architektur|Content text for de locale
knowledge-term.api.category.value@en|Software Architecture|Content text for en locale
knowledge-term.api.stable.label@de|Konzept seit|Content text for de locale
knowledge-term.api.stable.label@en|Concept since|Content text for en locale
knowledge-term.api.stable.value@de|1960er Jahre|Content text for de locale
knowledge-term.api.stable.value@en|1960s|Content text for en locale
knowledge-term.api.creator.label@de|Ursprung|Content text for de locale
knowledge-term.api.creator.label@en|Origin|Content text for en locale
knowledge-term.api.creator.value@de|IBM System/360|Content text for de locale
knowledge-term.api.creator.value@en|IBM System/360|Content text for en locale
knowledge-term.api.project.label@de|Standards|Content text for de locale
knowledge-term.api.project.label@en|Standards|Content text for en locale
knowledge-term.api.project.value@de|"<a href=""https://www.openapis.org"" target=""_blank"">OpenAPI Specification</a>"|Content text for de locale
knowledge-term.api.project.value@en|"<a href=""https://www.openapis.org"" target=""_blank"">OpenAPI Specification</a>"|Content text for en locale
knowledge-term.api.description@de|API - die drei Buchstaben, die das moderne Internet zusammenhalten. Eine Schnittstelle definiert, wie Programme miteinander sprechen, ohne ihre Innereien zu kennen. Wie eine Steckdose: Du musst nicht wissen, wie Strom erzeugt wird, nur dass 230V rauskommen. REST-APIs dominieren das Web: GET /users/42 holt einen Nutzer, POST /users erstellt einen neuen. GraphQL versucht es eleganter, gRPC macht es binär und schneller. Die Realität: Die meisten APIs sind ein Chaos aus inkonsistenten Endpunkten, fehlender Dokumentation und Breaking Changes ohne Versionierung. Swagger/OpenAPI hilft, aber nur wenn Entwickler es pflegen. Diese Webseite hat bewusst keine öffentliche API - manchmal ist keine API die beste API.|Content text for de locale
knowledge-term.api.description@en|API - the three letters that hold the modern internet together. An interface defines how programs talk to each other without knowing their internals. Like a power outlet: you don't need to know how electricity is generated, just that 230V comes out. REST APIs dominate the web: GET /users/42 fetches a user, POST /users creates a new one. GraphQL tries to be more elegant, gRPC does it binary and faster. The reality: most APIs are a chaos of inconsistent endpoints, missing documentation, and breaking changes without versioning. Swagger/OpenAPI helps, but only if developers maintain it. This website deliberately has no public API - sometimes no API is the best API.|Content text for en locale
